subject_name,task,robot,trial,success,success_time,disturbance
tony_chen,Bookshelf,PandaWrist,0,False,50.251370429992676,0.22646069828023324
tony_chen,Bookshelf,PandaWrist,1,False,60.01296806335449,0.29014352127695336
tony_chen,Bookshelf,PandaWrist,2,True,58.226425886154175,0.23187114651040433
tony_chen,Bookshelf,PandaWrist,3,False,60.00136590003967,0.1999567223204851
tony_chen,Bookshelf,PandaWrist,4,False,60.01148176193237,0.2785786479505293
tony_chen,Bookshelf,PandaSSLIM,0,False,60.027491331100464,0.1446603063468459
tony_chen,Bookshelf,PandaSSLIM,1,True,43.02428579330444,0.2318843504019936
tony_chen,Bookshelf,PandaSSLIM,2,True,25.94211435317993,0.0814112774953041
tony_chen,Bookshelf,PandaSSLIM,3,True,30.901710987091064,0.0868048542151169
tony_chen,Bookshelf,PandaSSLIM,4,False,35.30924129486084,0.08401921515621363
tony_chen,Bookshelf,Panda,0,True,50.75303864479065,0.23138078717400298
tony_chen,Bookshelf,Panda,1,False,60.02310132980347,1.8925680009444685
tony_chen,Bookshelf,Panda,2,False,60.026647329330444,3.052612318441623
tony_chen,Bookshelf,Panda,3,False,60.00544238090515,0.2555256750017569
tony_chen,Bookshelf,Panda,4,False,60.019294023513794,0.2394111644880734
tony_chen,ConstrainedReorient,PandaSSLIM,0,2,41.869873046875,
tony_chen,ConstrainedReorient,PandaSSLIM,1,2,44.013185262680054,
tony_chen,ConstrainedReorient,PandaSSLIM,2,2,48.81057834625244,
tony_chen,ConstrainedReorient,PandaSSLIM,3,2,36.45920753479004,
tony_chen,ConstrainedReorient,PandaSSLIM,4,2,60.81571102142334,
tony_chen,ConstrainedReorient,PandaWrist,0,2,24.99342966079712,
tony_chen,ConstrainedReorient,PandaWrist,1,0,60.009451150894165,
tony_chen,ConstrainedReorient,PandaWrist,2,2,53.52038836479187,
tony_chen,ConstrainedReorient,PandaWrist,3,2,25.023885250091553,
tony_chen,ConstrainedReorient,PandaWrist,4,2,23.194217443466187,
tony_chen,ConstrainedReorient,Panda,0,2,44.88121962547302,
tony_chen,ConstrainedReorient,Panda,1,0,60.01487326622009,
tony_chen,ConstrainedReorient,Panda,2,2,56.98802065849304,
tony_chen,ConstrainedReorient,Panda,3,0,60.00680589675903,
tony_chen,ConstrainedReorient,Panda,4,2,28.075141668319702,
tony_chen,DrawerPick,Panda,0,False,60.01283121109009,
tony_chen,DrawerPick,Panda,1,False,60.0158109664917,
tony_chen,DrawerPick,Panda,2,False,60.01238489151001,
tony_chen,DrawerPick,Panda,3,True,38.3904492855072,
tony_chen,DrawerPick,Panda,4,False,60.01972579956055,
tony_chen,DrawerPick,PandaSSLIM,0,False,60.02497673034668,
tony_chen,DrawerPick,PandaSSLIM,1,True,48.99551010131836,
tony_chen,DrawerPick,PandaSSLIM,2,True,49.1748251914978,
tony_chen,DrawerPick,PandaSSLIM,3,True,34.326263666152954,
tony_chen,DrawerPick,PandaSSLIM,4,True,25.59139585494995,
tony_chen,DrawerPick,PandaWrist,0,False,60.031630992889404,
tony_chen,DrawerPick,PandaWrist,1,False,60.00311636924744,
tony_chen,DrawerPick,PandaWrist,2,False,60.01557374000549,
tony_chen,DrawerPick,PandaWrist,3,True,36.28581357002258,
tony_chen,DrawerPick,PandaWrist,4,True,59.29686880111694,
